Timestamp,Object,Confidence
2026-03-29 10:13:21,laptop,0.83
2026-03-29 10:13:21,laptop,0.77
2026-03-29 10:13:21,laptop,0.84
2026-03-29 10:13:22,laptop,0.84
2026-03-29 10:13:23,laptop,0.57
2026-03-29 10:13:23,cup,0.80
2026-03-29 10:13:23,cup,0.62
2026-03-29 10:13:23,cup,0.54
2026-03-29 10:13:24,cup,0.65
2026-03-29 10:13:24,cup,0.74
2026-03-29 10:13:24,cup,0.73
2026-03-29 10:13:25,cup,0.63
2026-03-29 10:13:25,cup,0.55
2026-03-29 10:13:25,cup,0.73
2026-03-29 10:13:25,cup,0.69
2026-03-29 10:13:26,cup,0.61
2026-03-29 10:13:26,cup,0.71
2026-03-29 10:13:26,cup,0.79
2026-03-29 10:13:26,laptop,0.51
2026-03-29 10:13:27,cup,0.73
2026-03-29 10:13:27,tv,0.71
2026-03-29 10:13:27,tv,0.74
2026-03-29 10:13:27,cup,0.73
2026-03-29 10:13:27,cup,0.73
2026-03-29 10:13:27,tv,0.68
2026-03-29 10:13:28,cup,0.73
2026-03-29 10:13:28,tv,0.52
2026-03-29 10:13:28,cup,0.74
2026-03-29 10:13:28,tv,0.53
2026-03-29 10:13:28,cup,0.84
2026-03-29 10:13:28,tv,0.60
2026-03-29 10:13:28,tv,0.77
2026-03-29 10:13:28,cup,0.74
2026-03-29 10:13:29,cup,0.79
2026-03-29 10:13:29,tv,0.69
2026-03-29 10:13:29,cup,0.79
2026-03-29 10:13:29,tv,0.58
2026-03-29 10:13:29,tv,0.71
2026-03-29 10:13:29,cup,0.63
2026-03-29 10:13:30,tv,0.68
2026-03-29 10:13:30,cup,0.53
2026-03-29 10:13:30,tv,0.74
2026-03-29 10:13:30,cup,0.58
2026-03-29 10:13:30,cup,0.79
2026-03-29 10:13:30,tv,0.58
2026-03-29 10:13:30,cup,0.84
2026-03-29 10:13:30,tv,0.57
2026-03-29 10:13:31,cup,0.78
2026-03-29 10:13:31,laptop,0.75
2026-03-29 10:13:31,cup,0.73
2026-03-29 10:13:31,cup,0.67
2026-03-29 10:13:31,laptop,0.57
2026-03-29 10:13:32,cup,0.83
2026-03-29 10:13:33,person,0.51
2026-03-29 10:13:33,person,0.61
